edge_id,source_id,target_id,relation_type,weight,listen_count,rating
E0078,U1220,S0336,LIKES,0.82,20,5
E0079,U0205,S1859,LIKES,0.76,33,4
E0080,U1411,S1581,LIKES,0.52,40,2
E0081,U0403,S1319,LIKES,0.55,45,2
E0082,U1017,S1707,LIKES,0.52,40,2
E0083,U0434,S0560,LIKES,0.98,46,5
E0084,U0465,S1489,LIKES,0.86,27,5
E0085,U0939,S1630,LIKES,0.69,45,3
E0086,U0451,S1758,LIKES,0.6,6,4
E0087,U0535,S0646,LIKES,0.34,33,1
E0088,U0899,S0923,LIKES,0.67,19,4
E0089,U1060,S1160,LIKES,0.59,28,3
E0090,U1018,S0260,LIKES,0.54,43,2
E0091,U0734,S1805,LIKES,0.78,36,4
E0092,U0276,S1940,LIKES,0.51,15,3
E0093,U1480,S0347,LIKES,0.61,9,4
E0094,U1189,S0959,LIKES,0.33,31,1
E0095,U0440,S1482,LIKES,0.82,43,4
E0096,U0332,S0852,LIKES,0.36,14,2
E0097,U0162,S1586,LIKES,0.71,25,4
E0098,U1278,S0419,LIKES,0.82,43,4
E0099,U0091,S0038,LIKES,0.71,25,4
E0100,U1287,S1055,LIKES,0.99,49,5
E0101,U1060,S0845,LIKES,0.83,45,4
E0102,U0946,S1275,LIKES,0.76,33,4
E0103,U0496,S1759,LIKES,0.27,21,1
E0104,U1222,S0957,LIKES,0.6,6,4
E0105,U0777,S0563,LIKES,0.65,39,3
E0106,U1154,S1276,LIKES,0.78,14,5
E0107,U0350,S0192,LIKES,0.36,36,1
E0108,U0478,S1367,LIKES,0.35,12,2
E0109,U0554,S1729,LIKES,0.18,7,1
E0110,U0939,S1743,LIKES,0.87,28,5
E0111,U1306,S1535,LIKES,0.75,9,5
E0112,U1296,S0301,LIKES,0.51,38,2
E0113,U0903,S0115,LIKES,0.37,38,1
E0114,U1128,S1609,LIKES,0.93,38,5
E0115,U0094,S0158,LIKES,0.81,41,4
E0116,U0321,S1361,LIKES,0.81,19,5
E0117,U0593,S0020,LIKES,0.56,24,3
E0118,U0918,S0363,LIKES,0.37,38,1
E0119,U1247,S0997,LIKES,0.65,38,3
E0120,U1132,S0828,LIKES,0.31,29,1
E0121,U0210,S0256,LIKES,0.18,6,1
E0122,U1210,S1162,LIKES,0.49,11,3
E0123,U0844,S0357,LIKES,0.76,34,4
E0124,U0103,S1002,LIKES,0.64,13,4
E0125,U0915,S0428,LIKES,0.21,11,1
E0126,U0649,S0308,LIKES,0.94,40,5
E0127,U1137,S0980,LIKES,0.52,40,2
E0128,U0389,S1811,LIKES,0.86,27,5
E0129,U1272,S1981,LIKES,0.7,24,4
E0130,U0674,S0736,LIKES,0.22,14,1
E0131,U0115,S0885,LIKES,0.6,30,3
E0132,U0813,S0344,LIKES,0.72,3,5
E0133,U0741,S0053,LIKES,0.7,24,4
E0134,U0453,S0313,LIKES,0.56,47,2
E0135,U1182,S1465,LIKES,0.51,38,2
E0136,U0568,S0512,LIKES,0.77,12,5
E0137,U1393,S1388,LIKES,0.8,40,4
E0138,U0741,S1315,LIKES,0.61,32,3
E0139,U0812,S1949,LIKES,0.58,3,4
E0140,U1166,S1357,LIKES,0.43,25,2
E0141,U1384,S0396,LIKES,0.15,2,1
E0142,U0610,S1337,LIKES,0.32,6,2
E0143,U1077,S1999,LIKES,0.27,22,1
E0144,U0630,S0735,LIKES,0.91,35,5
E0145,U0593,S0436,LIKES,0.38,40,1
E0146,U1208,S0064,LIKES,0.64,14,4
E0147,U0224,S1505,LIKES,0.56,46,2
E0148,U1005,S1248,LIKES,0.76,34,4
E0149,U0838,S0142,LIKES,0.24,17,1
E0150,U0921,S0102,LIKES,0.43,1,3
E0151,U1081,S0681,LIKES,0.85,49,4
E0152,U1064,S0197,LIKES,0.57,1,4
E0153,U0136,S0075,LIKES,0.32,7,2
E0154,U0760,S1021,LIKES,0.79,15,5
E0155,U0037,S0275,LIKES,0.99,48,5
E0156,U0106,S1324,LIKES,0.55,22,3
E0157,U1401,S0883,LIKES,0.93,38,5
E0158,U1186,S1722,LIKES,0.15,2,1
E0159,U0677,S1179,LIKES,0.27,22,1
E0160,U0784,S0584,LIKES,0.28,24,1
E0161,U0332,S1131,LIKES,0.86,50,4
E0162,U0870,S1312,LIKES,0.32,30,1
E0163,U1278,S0007,LIKES,0.6,30,3
E0164,U1021,S0916,LIKES,0.78,37,4
E0165,U1357,S0338,LIKES,0.3,3,2
E0166,U0949,S0193,LIKES,0.51,38,2
E0167,U0887,S1241,LIKES,0.89,31,5
E0168,U1375,S0840,LIKES,0.61,32,3
E0169,U1227,S1982,LIKES,0.34,34,1
E0170,U1138,S1061,LIKES,0.32,6,2
E0171,U0113,S1755,LIKES,0.53,19,3
E0172,U0863,S1015,LIKES,0.47,8,3
E0173,U0437,S1059,LIKES,0.3,27,1
E0174,U1029,S1445,LIKES,0.33,32,1
E0175,U0755,S1819,LIKES,0.64,14,4
E0176,U1314,S1360,LIKES,0.25,18,1
E0177,U0375,S0915,LIKES,0.49,12,3
E0178,U0213,S0134,LIKES,0.16,3,1
E0179,U0285,S0949,LIKES,0.36,13,2
E0180,U0662,S0379,LIKES,0.46,6,3
E0181,U1379,S0653,LIKES,0.78,13,5
E0182,U1357,S1252,LIKES,0.43,1,3
E0183,U0676,S0664,LIKES,0.39,42,1
E0184,U0463,S0500,LIKES,0.34,10,2
E0185,U0014,S1447,LIKES,0.69,22,4
E0186,U1102,S0332,LIKES,0.93,39,5
E0187,U0808,S1219,LIKES,0.85,25,5
E0188,U1251,S0581,LIKES,0.67,19,4
E0189,U0721,S0122,LIKES,0.75,31,4
E0190,U1125,S1951,LIKES,0.44,27,2
E0191,U1278,S1784,LIKES,0.95,42,5
E0192,U1475,S0108,LIKES,0.67,41,3
E0193,U0376,S1710,LIKES,0.78,36,4
E0194,U0767,S1018,LIKES,0.29,25,1
E0195,U0219,S1805,LIKES,0.9,34,5
E0196,U0298,S0999,LIKES,0.57,48,2
E0197,U1231,S1164,LIKES,0.64,13,4
E0198,U1444,S1653,LIKES,0.78,13,5
E0199,U0015,S0151,LIKES,0.46,30,2
E0200,U0267,S1691,LIKES,0.9,33,5
E0201,U1119,S1922,LIKES,0.34,10,2
E0202,U0196,S1009,LIKES,0.44,3,3
E0203,U1107,S1100,LIKES,0.3,26,1
E0204,U1035,S1110,LIKES,0.31,29,1
E0205,U0242,S1560,LIKES,0.18,7,1
E0206,U1140,S1406,LIKES,0.79,39,4
E0207,U1415,S1008,LIKES,0.82,44,4
E0208,U1109,S0350,LIKES,0.3,27,1
E0209,U0427,S1003,LIKES,0.76,10,5
E0210,U0288,S0628,LIKES,0.35,11,2
E0211,U0543,S1431,LIKES,0.41,45,1
E0212,U1084,S0224,LIKES,0.29,25,1
E0213,U0104,S0063,LIKES,0.58,3,4
E0214,U0412,S0993,LIKES,0.58,50,2
E0215,U0286,S1726,LIKES,0.57,49,2
E0216,U1241,S1550,LIKES,0.32,6,2
E0217,U0272,S0995,LIKES,0.9,33,5
E0218,U0968,S1289,LIKES,0.96,44,5
E0219,U0492,S1859,LIKES,0.72,26,4
E0220,U0113,S1901,LIKES,0.8,40,4
E0221,U1138,S0392,LIKES,0.84,24,5
E0222,U0749,S1493,LIKES,0.83,45,4
E0223,U0341,S1381,LIKES,0.43,2,3
E0224,U0676,S0106,LIKES,0.3,4,2
E0225,U0799,S1473,LIKES,0.94,40,5
E0226,U0086,S0360,LIKES,0.43,2,3
E0227,U0471,S0129,LIKES,0.86,50,4
E0228,U0885,S0386,LIKES,0.52,16,3
E0229,U0341,S1177,LIKES,0.78,13,5
E0230,U0173,S1281,LIKES,0.52,40,2
E0231,U0400,S1081,LIKES,0.67,42,3
E0232,U0040,S0233,LIKES,0.43,49,1
E0233,U0298,S0195,LIKES,0.72,4,5
E0234,U1306,S0920,LIKES,0.54,43,2
E0235,U1365,S0148,LIKES,0.85,49,4
E0236,U0260,S0734,LIKES,0.82,44,4
E0237,U0024,S0935,LIKES,0.45,5,3
E0238,U1137,S1357,LIKES,0.57,49,2
E0239,U0326,S0500,LIKES,0.34,10,2
E0240,U1274,S1863,LIKES,0.74,30,4
E0241,U1224,S1305,LIKES,0.36,13,2
E0242,U1339,S0794,LIKES,0.5,14,3
E0243,U0517,S1454,LIKES,0.73,29,4
E0244,U1048,S0914,LIKES,0.69,21,4
E0245,U0678,S1189,LIKES,0.93,39,5
E0246,U0999,S1525,LIKES,0.69,22,4
E0247,U0768,S1631,LIKES,0.46,7,3
E0248,U0140,S1338,LIKES,0.42,23,2
E0249,U1261,S1052,LIKES,0.73,5,5
E0250,U1431,S0913,LIKES,0.15,1,1
E0251,U1057,S1802,LIKES,0.35,35,1
E0252,U1306,S0577,LIKES,0.62,34,3
E0253,U0870,S1917,LIKES,0.42,46,1
E0254,U0985,S1803,LIKES,0.46,6,3
E0255,U1324,S0191,LIKES,0.48,34,2
E0256,U0776,S0423,LIKES,0.77,11,5
E0257,U0704,S0144,LIKES,0.61,32,3
E0258,U0395,S0685,LIKES,0.52,16,3
E0259,U0365,S0008,LIKES,0.71,48,3
E0260,U0976,S0086,LIKES,0.39,42,1
E0261,U0767,S0664,LIKES,0.88,30,5
E0262,U0037,S0464,LIKES,0.73,5,5
E0263,U1069,S0654,LIKES,0.62,34,3
E0264,U1343,S1738,LIKES,0.73,28,4
E0265,U0238,S0754,LIKES,0.84,24,5
E0266,U1283,S0628,LIKES,0.45,29,2
E0267,U1373,S0302,LIKES,0.91,35,5
E0268,U0277,S1517,LIKES,0.21,11,1
E0269,U1448,S1736,LIKES,0.34,33,1
E0270,U0990,S1621,LIKES,0.4,44,1
E0271,U0749,S0394,LIKES,0.6,6,4
E0272,U0305,S1710,LIKES,0.46,30,2
E0273,U0093,S1180,LIKES,0.59,5,4
E0274,U1185,S1384,LIKES,0.44,50,1
E0275,U0048,S1461,LIKES,0.36,14,2
E0276,U1045,S0892,LIKES,0.72,3,5
E0277,U0697,S0172,LIKES,0.96,44,5
E0278,U1062,S0152,LIKES,0.45,29,2
E0279,U0080,S0254,LIKES,0.99,49,5
E0280,U0676,S1096,LIKES,0.28,23,1
E0281,U0790,S0285,LIKES,0.41,21,2
E0282,U0559,S1087,LIKES,0.72,27,4
E0283,U1258,S0990,LIKES,0.29,2,2
E0284,U0894,S0237,LIKES,0.78,13,5
E0285,U0267,S0311,LIKES,0.63,11,4
E0286,U0792,S0283,LIKES,0.54,44,2
E0287,U0865,S1994,LIKES,0.95,42,5
E0288,U0999,S0599,LIKES,0.74,6,5
E0289,U0133,S1809,LIKES,0.26,20,1
E0290,U0262,S0416,LIKES,0.47,9,3
E0291,U1487,S1903,LIKES,0.4,44,1
E0292,U0217,S0682,LIKES,0.37,38,1
E0293,U0806,S1599,LIKES,0.76,10,5
E0294,U1383,S1954,LIKES,0.42,46,1
E0295,U1398,S0450,LIKES,0.62,34,3
E0296,U0489,S1186,LIKES,0.58,4,4
E0297,U0381,S1817,LIKES,0.72,27,4
E0298,U0472,S0803,LIKES,0.6,6,4
E0299,U0224,S1687,LIKES,0.32,6,2
E0300,U0484,S0414,LIKES,0.8,17,5
E0301,U1050,S1333,LIKES,0.54,43,2
E0302,U0992,S0572,LIKES,0.88,30,5
E0303,U0633,S0500,LIKES,0.7,46,3
E0304,U0498,S1713,LIKES,0.43,48,1
E0305,U1458,S1179,LIKES,0.92,37,5
E0306,U0583,S0248,LIKES,0.57,49,2
E0307,U0178,S0506,LIKES,0.46,7,3
E0308,U0231,S0401,LIKES,0.77,11,5
E0309,U1101,S0899,LIKES,0.33,9,2
E0310,U0566,S1081,LIKES,0.3,27,1
E0311,U1104,S1874,LIKES,0.44,50,1
E0312,U1052,S1939,LIKES,0.78,13,5
E0313,U1171,S1740,LIKES,0.43,1,3
E0314,U0365,S1977,LIKES,0.75,32,4
E0315,U0431,S0661,LIKES,0.3,3,2
E0316,U1479,S1938,LIKES,0.66,17,4
E0317,U1464,S1403,LIKES,0.72,4,5
E0318,U0223,S0662,LIKES,0.76,34,4
E0319,U0941,S0403,LIKES,0.17,5,1
E0320,U1235,S0933,LIKES,0.95,42,5
E0321,U0152,S0338,LIKES,0.29,2,2
E0322,U1409,S1848,LIKES,0.8,40,4
E0323,U0647,S0672,LIKES,0.95,41,5
E0324,U0760,S1542,LIKES,0.16,3,1
E0325,U1405,S1395,LIKES,0.55,45,2
E0326,U1393,S0386,LIKES,0.59,29,3
E0327,U1343,S1327,LIKES,0.26,20,1
E0328,U1135,S0144,LIKES,0.69,21,4
E0329,U0687,S0454,LIKES,0.44,27,2
E0330,U1190,S1065,LIKES,0.52,17,3
E0331,U1084,S1172,LIKES,0.33,32,1
E0332,U0509,S0423,LIKES,0.84,24,5
E0333,U0663,S0219,LIKES,0.28,24,1
E0334,U0178,S1523,LIKES,0.31,29,1
E0335,U0766,S0077,LIKES,0.58,50,2
E0336,U0405,S1574,LIKES,0.91,35,5
E0337,U0072,S1562,LIKES,0.67,18,4
E0338,U0798,S1252,LIKES,0.43,2,3
E0339,U0833,S1960,LIKES,0.39,18,2
E0340,U0468,S1094,LIKES,0.15,2,1
E0341,U0756,S0686,LIKES,0.83,45,4
E0342,U0128,S0228,LIKES,0.87,29,5
E0343,U0340,S0679,LIKES,0.99,48,5
E0344,U1008,S1786,LIKES,0.45,5,3
E0345,U0380,S1882,LIKES,0.45,28,2
E0346,U0173,S0603,LIKES,0.58,3,4
E0347,U1485,S1438,LIKES,0.61,8,4
E0348,U0978,S0866,LIKES,0.3,27,1
E0349,U1169,S0910,LIKES,0.72,26,4
E0350,U1109,S0999,LIKES,0.29,1,2
E0351,U0298,S0278,LIKES,0.67,18,4
E0352,U0140,S1002,LIKES,0.34,10,2
E0353,U1180,S1584,LIKES,0.57,49,2
E0354,U0837,S1325,LIKES,0.71,48,3
E0355,U1455,S0761,LIKES,0.8,17,5
E0356,U0224,S0290,LIKES,0.35,11,2
E0357,U1138,S0067,LIKES,0.45,29,2
E0358,U0074,S1885,LIKES,0.72,27,4
E0359,U0907,S1465,LIKES,0.17,5,1
E0360,U1423,S1883,LIKES,0.54,44,2
E0361,U0161,S0034,LIKES,0.49,35,2
E0362,U0245,S1917,LIKES,0.78,13,5
E0363,U0010,S0266,LIKES,0.37,38,1
E0364,U0239,S0938,LIKES,0.35,12,2
E0365,U0311,S1492,LIKES,0.5,36,2
E0366,U0574,S0935,LIKES,0.69,45,3
E0367,U0259,S1435,LIKES,0.95,41,5
E0368,U0802,S0664,LIKES,0.43,2,3
E0369,U0027,S0239,LIKES,0.92,37,5
E0370,U0472,S1837,LIKES,0.53,41,2
E0371,U0400,S0971,LIKES,0.29,2,2
E0372,U0406,S1339,LIKES,0.51,15,3
E0373,U0593,S1698,LIKES,0.15,1,1
E0374,U0822,S0949,LIKES,0.44,4,3
E0375,U1102,S1720,LIKES,0.76,33,4
E0376,U1371,S1505,LIKES,0.32,30,1
E0377,U0406,S1793,LIKES,0.75,8,5
E0378,U0843,S0070,LIKES,0.49,12,3
E0379,U0853,S1630,LIKES,0.16,4,1
E0380,U0577,S0799,LIKES,0.54,43,2
E0381,U1304,S0042,LIKES,0.74,7,5
E0382,U1358,S1871,LIKES,0.89,32,5
E0383,U0326,S1594,LIKES,0.91,35,5
E0384,U0268,S0306,LIKES,0.77,11,5
E0385,U0923,S0505,LIKES,0.77,35,4
E0386,U0919,S1872,LIKES,0.31,29,1
E0387,U0410,S0926,LIKES,0.66,17,4
E0388,U0027,S0485,LIKES,0.32,30,1
E0389,U0778,S1152,LIKES,0.4,43,1
E0390,U0334,S1167,LIKES,0.6,6,4
E0391,U0226,S1953,LIKES,0.84,23,5
E0392,U1138,S1888,LIKES,0.65,38,3
E0393,U0502,S0685,LIKES,0.29,25,1
E0394,U0924,S0522,LIKES,0.7,46,3
E0395,U0308,S1879,LIKES,0.68,44,3
E0396,U0960,S1476,LIKES,0.19,9,1
E0397,U1183,S0137,LIKES,0.88,30,5
E0398,U0518,S1240,LIKES,0.3,27,1
E0399,U0906,S1973,LIKES,0.42,23,2
E0400,U0938,S1205,LIKES,0.27,22,1
E0401,U0820,S0881,LIKES,0.46,30,2
E0402,U0358,S1818,LIKES,0.27,21,1
E0403,U0967,S0135,LIKES,0.87,29,5
E0404,U1435,S1003,LIKES,0.78,37,4
E0405,U0992,S0626,LIKES,0.76,34,4
E0406,U0516,S1483,LIKES,0.37,15,2
E0407,U0382,S1979,LIKES,0.64,13,4
E0408,U0221,S0517,LIKES,0.62,33,3
E0409,U0298,S1251,LIKES,0.46,7,3
E0410,U0298,S1962,LIKES,0.61,32,3
E0411,U0714,S1019,LIKES,0.62,10,4
E0412,U0639,S0515,LIKES,0.5,37,2
E0413,U0893,S0146,LIKES,0.57,25,3
E0414,U0542,S1994,LIKES,0.77,35,4
E0415,U1318,S0092,LIKES,0.34,33,1
E0416,U0369,S1343,LIKES,0.75,31,4
E0417,U0245,S1655,LIKES,0.45,29,2
E0418,U0513,S1753,LIKES,0.78,14,5
E0419,U0340,S0041,LIKES,0.72,26,4
E0420,U1255,S0591,LIKES,0.33,9,2
E0421,U0291,S1091,LIKES,0.71,48,3
E0422,U0538,S0607,LIKES,0.68,44,3
E0423,U0529,S1374,LIKES,0.72,50,3
E0424,U1154,S0361,LIKES,0.75,32,4
E0425,U0228,S0916,LIKES,0.5,37,2
E0426,U1253,S0321,LIKES,0.58,50,2
E0427,U1492,S1166,LIKES,0.53,18,3
E0428,U0813,S0662,LIKES,0.74,6,5
E0429,U1371,S1432,LIKES,0.36,37,1
E0430,U0600,S1420,LIKES,0.39,18,2
E0431,U1494,S0821,LIKES,0.92,36,5
E0432,U0034,S0153,LIKES,0.65,15,4
E0433,U0462,S1185,LIKES,0.28,23,1
E0434,U0077,S0354,LIKES,0.33,31,1
E0435,U1155,S1211,LIKES,0.53,18,3
E0436,U1294,S1868,LIKES,0.77,12,5
E0437,U1305,S1528,LIKES,0.5,14,3
E0438,U0675,S1173,LIKES,0.61,32,3
E0439,U0219,S0458,LIKES,0.24,16,1
E0440,U0165,S1424,LIKES,0.28,24,1
E0441,U0498,S1971,LIKES,0.51,38,2
E0442,U0636,S1720,LIKES,0.71,48,3
E0443,U0055,S0969,LIKES,0.61,8,4
E0444,U1088,S0351,LIKES,0.35,35,1
E0445,U1130,S1203,LIKES,0.64,37,3
E0446,U0399,S1484,LIKES,0.32,30,1
E0447,U0419,S1041,LIKES,0.53,19,3
E0448,U0586,S1841,LIKES,0.72,27,4
E0449,U1038,S1568,LIKES,0.47,9,3
E0450,U1228,S1463,LIKES,0.24,16,1
E0451,U0173,S0402,LIKES,0.64,36,3
E0452,U0004,S0672,LIKES,0.76,34,4
E0453,U1343,S0704,LIKES,0.45,5,3
E0454,U0123,S0775,LIKES,0.15,1,1
E0455,U0152,S1817,LIKES,0.83,45,4
E0456,U0193,S1221,LIKES,0.68,20,4
E0457,U1433,S1995,LIKES,0.52,17,3
E0458,U0600,S0013,LIKES,0.28,23,1
E0459,U1395,S0500,LIKES,0.38,16,2
E0460,U1431,S1827,LIKES,0.73,29,4
E0461,U0714,S1510,LIKES,0.62,33,3
E0462,U0109,S1920,LIKES,0.87,28,5
E0463,U0508,S0452,LIKES,0.56,46,2
E0464,U0401,S1583,LIKES,0.51,15,3
E0465,U1432,S1188,LIKES,0.4,44,1
E0466,U1201,S0162,LIKES,0.75,9,5
E0467,U1051,S0964,LIKES,0.61,9,4
E0468,U1408,S0388,LIKES,0.18,6,1
E0469,U0091,S1530,LIKES,0.95,42,5
E0470,U0323,S1557,LIKES,0.74,7,5
E0471,U1301,S0272,LIKES,0.64,13,4
E0472,U0614,S1945,LIKES,0.63,12,4
E0473,U1211,S0167,LIKES,0.71,25,4
E0474,U0135,S0431,LIKES,0.6,6,4
E0475,U1283,S0222,LIKES,0.17,5,1
E0476,U0010,S1059,LIKES,0.51,38,2
E0477,U1052,S0629,LIKES,0.33,31,1
E0478,U0304,S1163,LIKES,0.72,3,5
E0479,U0799,S0634,LIKES,0.69,22,4
E0480,U1010,S0046,LIKES,0.84,47,4
E0481,U0824,S0620,LIKES,0.57,1,4
E0482,U1500,S0618,LIKES,0.43,25,2
E0483,U0861,S0639,LIKES,0.26,20,1
E0484,U0931,S1364,LIKES,0.84,23,5
E0485,U1160,S1965,LIKES,0.86,27,5
E0486,U0332,S1188,LIKES,0.71,2,5
E0487,U0264,S1237,LIKES,0.63,35,3
E0488,U1229,S1461,LIKES,0.59,28,3
E0489,U0387,S1078,LIKES,0.5,14,3
E0490,U0756,S0064,LIKES,0.43,49,1
E0491,U0087,S0035,LIKES,0.72,4,5
E0492,U1488,S1836,LIKES,0.66,40,3
E0493,U0436,S1571,LIKES,0.37,39,1
E0494,U0841,S1783,LIKES,0.73,28,4
E0495,U0246,S1521,LIKES,0.39,41,1
E0496,U1348,S1434,LIKES,0.66,16,4
E0497,U0632,S0163,LIKES,0.21,12,1
E0498,U0752,S0218,LIKES,0.61,9,4
E0499,U1420,S1340,LIKES,0.18,7,1
E0500,U1485,S1976,LIKES,0.31,5,2
E0501,U0258,S0890,LIKES,0.49,12,3
E0502,U0913,S0971,LIKES,0.18,6,1
E0503,U1089,S0029,LIKES,0.72,26,4
E0504,U0340,S1332,LIKES,0.71,2,5
E0505,U0850,S0034,LIKES,0.19,9,1
E0506,U1366,S1915,LIKES,0.41,45,1
E0507,U0104,S1199,LIKES,0.67,19,4
E0508,U0424,S1067,LIKES,0.19,8,1
E0509,U0952,S0965,LIKES,0.78,13,5
E0510,U1131,S0917,LIKES,0.58,50,2
E0511,U1138,S0354,LIKES,0.47,9,3
E0512,U0808,S0180,LIKES,0.51,38,2
E0513,U0800,S1663,LIKES,0.43,25,2
E0514,U1496,S0303,LIKES,0.67,42,3
E0515,U0489,S0881,LIKES,0.7,47,3
E0516,U1462,S1915,LIKES,0.94,40,5
E0517,U0028,S1998,LIKES,0.43,2,3
E0518,U0146,S1760,LIKES,0.63,12,4
E0519,U0844,S0972,LIKES,0.79,15,5
E0520,U0623,S1411,LIKES,0.89,32,5
E0521,U0247,S0226,LIKES,0.22,13,1
E0522,U0986,S1377,LIKES,0.35,35,1
E0523,U0528,S0735,LIKES,0.72,27,4
E0524,U0582,S0990,LIKES,0.98,46,5
E0525,U1381,S1879,LIKES,0.93,38,5
E0526,U0569,S0055,LIKES,0.58,3,4
E0527,U1453,S0833,LIKES,0.74,30,4
E0528,U0863,S1127,LIKES,0.72,3,5
E0529,U0937,S0685,LIKES,0.43,2,3
E0530,U0317,S0750,LIKES,0.32,30,1
E0531,U0765,S0107,LIKES,0.54,43,2
E0532,U1044,S0887,LIKES,0.47,8,3
E0533,U0934,S1356,LIKES,0.25,18,1
E0534,U1263,S0623,LIKES,0.56,46,2
E0535,U0758,S0207,LIKES,0.42,23,2
E0536,U0307,S1768,LIKES,0.35,11,2
E0537,U0798,S0660,LIKES,0.41,21,2
E0538,U1078,S1909,LIKES,0.67,42,3
E0539,U0193,S1555,LIKES,0.37,39,1
E0540,U0094,S1360,LIKES,0.27,22,1
E0541,U1049,S0189,LIKES,0.21,11,1
E0542,U1352,S0153,LIKES,0.69,22,4
E0543,U1128,S1960,LIKES,0.33,31,1
E0544,U0339,S0652,LIKES,0.64,37,3
E0545,U0500,S1102,LIKES,0.59,5,4
E0546,U0642,S1803,LIKES,0.45,5,3
E0547,U0681,S1751,LIKES,0.3,4,2
E0548,U0245,S0169,LIKES,0.35,11,2
E0549,U0216,S1019,LIKES,0.98,46,5
E0550,U0533,S1627,LIKES,0.6,7,4
E0551,U0175,S1144,LIKES,0.33,31,1
E0552,U1272,S0091,LIKES,0.99,49,5
E0553,U0089,S0121,LIKES,0.41,22,2
E0554,U0084,S0165,LIKES,0.96,43,5
E0555,U0167,S0160,LIKES,0.72,4,5
E0556,U0974,S0928,LIKES,0.52,16,3
E0557,U0806,S1681,LIKES,0.79,15,5
