node_id,node_type,name,age,favorite_genre,artist,genre,release_year
U0116,user,Usuario 116,25,"Pop, Jazz",,,
U0117,user,Usuario 117,28,"Salsa, Jazz, Reggaeton",,,
U0118,user,Usuario 118,17,"Indie, Bachata",,,
U0119,user,Usuario 119,34,"Indie, Pop, Cumbia",,,
U0120,user,Usuario 120,29,Electrónica,,,
U0121,user,Usuario 121,39,Pop,,,
U0122,user,Usuario 122,36,"K-Pop, Jazz, R&B",,,
U0123,user,Usuario 123,26,"Salsa, Cumbia, R&B",,,
U0124,user,Usuario 124,30,"Salsa, Pop, K-Pop",,,
U0125,user,Usuario 125,24,"Pop, Cumbia",,,
U0126,user,Usuario 126,20,"Jazz, Electrónica",,,
U0127,user,Usuario 127,18,"Reggaeton, Indie, Electrónica",,,
U0128,user,Usuario 128,40,"Electrónica, Jazz, Indie",,,
U0129,user,Usuario 129,33,"Pop, Bachata",,,
U0130,user,Usuario 130,16,"Bachata, K-Pop, Rock",,,
U0131,user,Usuario 131,27,"Pop, Cumbia, Salsa",,,
U0132,user,Usuario 132,27,"R&B, K-Pop",,,
U0133,user,Usuario 133,31,K-Pop,,,
U0134,user,Usuario 134,17,Reggaeton,,,
U0135,user,Usuario 135,32,Hip Hop,,,
U0136,user,Usuario 136,30,"Electrónica, Pop",,,
U0137,user,Usuario 137,38,"Salsa, Electrónica",,,
U0138,user,Usuario 138,32,"Electrónica, K-Pop, Rock",,,
U0139,user,Usuario 139,30,K-Pop,,,
U0140,user,Usuario 140,36,"Jazz, Electrónica, R&B",,,
U0141,user,Usuario 141,19,Hip Hop,,,
U0142,user,Usuario 142,18,"K-Pop, Rock, Jazz",,,
U0143,user,Usuario 143,35,"Reggaeton, Jazz, Pop",,,
U0144,user,Usuario 144,33,"Hip Hop, Rock, Electrónica",,,
U0145,user,Usuario 145,23,"R&B, Bachata, Salsa",,,
U0146,user,Usuario 146,33,Bachata,,,
U0147,user,Usuario 147,32,R&B,,,
U0148,user,Usuario 148,20,"Reggaeton, R&B",,,
U0149,user,Usuario 149,26,"R&B, Cumbia, Electrónica",,,
U0150,user,Usuario 150,28,"Indie, Pop",,,
U0151,user,Usuario 151,28,R&B,,,
U0152,user,Usuario 152,19,K-Pop,,,
U0153,user,Usuario 153,37,Salsa,,,
U0154,user,Usuario 154,28,"Bachata, Jazz",,,
U0155,user,Usuario 155,31,"K-Pop, Salsa, Jazz",,,
U0156,user,Usuario 156,28,Bachata,,,
U0157,user,Usuario 157,18,Hip Hop,,,
U0158,user,Usuario 158,39,"R&B, Hip Hop",,,
U0159,user,Usuario 159,25,"Jazz, Reggaeton, Hip Hop",,,
U0160,user,Usuario 160,28,Electrónica,,,
U0161,user,Usuario 161,26,K-Pop,,,
U0162,user,Usuario 162,22,"R&B, K-Pop",,,
U0163,user,Usuario 163,39,"K-Pop, Reggaeton, Salsa",,,
U0164,user,Usuario 164,31,Bachata,,,
U0165,user,Usuario 165,16,Salsa,,,
U0166,user,Usuario 166,40,K-Pop,,,
U0167,user,Usuario 167,23,Reggaeton,,,
U0168,user,Usuario 168,35,"Rock, Bachata",,,
U0169,user,Usuario 169,31,"Reggaeton, Salsa",,,
U0170,user,Usuario 170,38,"Reggaeton, Electrónica, Pop",,,
U0171,user,Usuario 171,27,"Indie, Jazz",,,
U0172,user,Usuario 172,36,Reggaeton,,,
U0173,user,Usuario 173,31,"Cumbia, Reggaeton, K-Pop",,,
U0174,user,Usuario 174,16,"K-Pop, Salsa, R&B",,,
U0175,user,Usuario 175,32,R&B,,,
U0176,user,Usuario 176,39,Rock,,,
U0177,user,Usuario 177,31,"Cumbia, K-Pop, Bachata",,,
U0178,user,Usuario 178,24,Hip Hop,,,
U0179,user,Usuario 179,23,Pop,,,
U0180,user,Usuario 180,35,"Cumbia, R&B",,,
U0181,user,Usuario 181,35,"Electrónica, K-Pop",,,
U0182,user,Usuario 182,26,"Electrónica, Hip Hop",,,
U0183,user,Usuario 183,25,"Electrónica, Indie, Reggaeton",,,
U0184,user,Usuario 184,33,Jazz,,,
U0185,user,Usuario 185,35,"K-Pop, Cumbia, R&B",,,
U0186,user,Usuario 186,36,"Hip Hop, Indie",,,
U0187,user,Usuario 187,23,Jazz,,,
U0188,user,Usuario 188,18,Jazz,,,
U0189,user,Usuario 189,26,"K-Pop, Salsa",,,
U0190,user,Usuario 190,36,Salsa,,,
U0191,user,Usuario 191,33,"Salsa, Hip Hop",,,
U0192,user,Usuario 192,21,Hip Hop,,,
U0193,user,Usuario 193,23,K-Pop,,,
U0194,user,Usuario 194,20,"K-Pop, Electrónica, Bachata",,,
U0195,user,Usuario 195,40,"Salsa, Rock, Cumbia",,,
U0196,user,Usuario 196,23,"Jazz, Rock",,,
U0197,user,Usuario 197,19,Reggaeton,,,
U0198,user,Usuario 198,39,"K-Pop, Bachata, Reggaeton",,,
U0199,user,Usuario 199,40,"Hip Hop, Jazz",,,
U0200,user,Usuario 200,39,"Jazz, K-Pop, Salsa",,,
U0201,user,Usuario 201,31,Indie,,,
U0202,user,Usuario 202,32,"Rock, Indie",,,
U0203,user,Usuario 203,29,"Pop, Electrónica",,,
U0204,user,Usuario 204,28,"Salsa, Pop, Jazz",,,
U0205,user,Usuario 205,27,Cumbia,,,
U0206,user,Usuario 206,16,"Jazz, K-Pop",,,
U0207,user,Usuario 207,31,Pop,,,
U0208,user,Usuario 208,34,"Pop, Salsa, Bachata",,,
U0209,user,Usuario 209,35,"Electrónica, Jazz, Indie",,,
U0210,user,Usuario 210,32,"Salsa, Indie, Bachata",,,
U0211,user,Usuario 211,29,"Cumbia, Pop, Hip Hop",,,
U0212,user,Usuario 212,21,R&B,,,
U0213,user,Usuario 213,30,"Bachata, Reggaeton",,,
U0214,user,Usuario 214,33,"Jazz, Electrónica, Rock",,,
U0215,user,Usuario 215,37,"Salsa, Electrónica",,,
U0216,user,Usuario 216,20,"Salsa, Reggaeton, R&B",,,
U0217,user,Usuario 217,20,"Salsa, Pop, R&B",,,
U0218,user,Usuario 218,35,"Electrónica, Cumbia, Pop",,,
U0219,user,Usuario 219,29,"Rock, Cumbia, R&B",,,
U0220,user,Usuario 220,39,"Jazz, R&B",,,
U0221,user,Usuario 221,19,"Rock, Cumbia",,,
U0222,user,Usuario 222,32,"Hip Hop, Pop",,,
U0223,user,Usuario 223,25,"Hip Hop, Rock, Reggaeton",,,
U0224,user,Usuario 224,34,"Electrónica, Salsa",,,
U0225,user,Usuario 225,16,K-Pop,,,
U0226,user,Usuario 226,36,"Salsa, K-Pop, Indie",,,
U0227,user,Usuario 227,27,"Rock, Bachata",,,
U0228,user,Usuario 228,24,"Indie, Salsa, Electrónica",,,
U0229,user,Usuario 229,31,R&B,,,
U0230,user,Usuario 230,23,"Hip Hop, Electrónica, Bachata",,,
U0231,user,Usuario 231,26,Bachata,,,
U0232,user,Usuario 232,34,Pop,,,
U0233,user,Usuario 233,31,"Rock, Bachata, R&B",,,
U0234,user,Usuario 234,32,K-Pop,,,
U0235,user,Usuario 235,18,Rock,,,
U0236,user,Usuario 236,29,"Salsa, Reggaeton",,,
U0237,user,Usuario 237,29,"Jazz, Rock",,,
U0238,user,Usuario 238,40,"Indie, Pop, Rock",,,
U0239,user,Usuario 239,35,"Rock, R&B, Electrónica",,,
U0240,user,Usuario 240,34,"Cumbia, Bachata",,,
U0241,user,Usuario 241,31,"Rock, Bachata",,,
U0242,user,Usuario 242,19,Bachata,,,
U0243,user,Usuario 243,38,Indie,,,
U0244,user,Usuario 244,33,"Bachata, Salsa",,,
U0245,user,Usuario 245,40,"Jazz, Bachata, Hip Hop",,,
U0246,user,Usuario 246,19,"Bachata, Indie",,,
U0247,user,Usuario 247,37,Jazz,,,
U0248,user,Usuario 248,40,"Indie, Jazz",,,
U0249,user,Usuario 249,27,Electrónica,,,
U0250,user,Usuario 250,36,Cumbia,,,
U0251,user,Usuario 251,20,"Salsa, Indie",,,
U0252,user,Usuario 252,20,"R&B, Salsa",,,
U0253,user,Usuario 253,24,Rock,,,
U0254,user,Usuario 254,19,"Jazz, Electrónica",,,
U0255,user,Usuario 255,39,"Hip Hop, Jazz",,,
U0256,user,Usuario 256,32,"Bachata, Hip Hop",,,
U0257,user,Usuario 257,17,Salsa,,,
U0258,user,Usuario 258,16,"Reggaeton, Electrónica",,,
U0259,user,Usuario 259,18,"Reggaeton, Salsa, Cumbia",,,
U0260,user,Usuario 260,25,"R&B, Hip Hop, Rock",,,
U0261,user,Usuario 261,33,"K-Pop, Rock",,,
U0262,user,Usuario 262,29,"Cumbia, Hip Hop",,,
U0263,user,Usuario 263,18,"Pop, Hip Hop",,,
U0264,user,Usuario 264,29,"Electrónica, Pop, K-Pop",,,
U0265,user,Usuario 265,25,"Salsa, Rock",,,
U0266,user,Usuario 266,16,"Pop, Reggaeton, K-Pop",,,
U0267,user,Usuario 267,20,K-Pop,,,
U0268,user,Usuario 268,24,"Bachata, Rock, Jazz",,,
U0269,user,Usuario 269,35,"Bachata, Rock, Electrónica",,,
U0270,user,Usuario 270,34,"Indie, K-Pop",,,
U0271,user,Usuario 271,24,"Electrónica, Cumbia, Hip Hop",,,
U0272,user,Usuario 272,31,"Rock, Electrónica, Hip Hop",,,
U0273,user,Usuario 273,29,"Bachata, Rock, Cumbia",,,
U0274,user,Usuario 274,16,Jazz,,,
U0275,user,Usuario 275,27,"Jazz, Cumbia, Indie",,,
U0276,user,Usuario 276,40,"Indie, Electrónica, Salsa",,,
U0277,user,Usuario 277,33,"Hip Hop, Cumbia, Jazz",,,
U0278,user,Usuario 278,25,Hip Hop,,,
U0279,user,Usuario 279,36,Bachata,,,
U0280,user,Usuario 280,19,"Rock, Hip Hop",,,
U0281,user,Usuario 281,18,"Pop, Bachata, R&B",,,
U0282,user,Usuario 282,31,"Jazz, K-Pop, Bachata",,,
U0283,user,Usuario 283,29,"Cumbia, Salsa",,,
U0284,user,Usuario 284,26,R&B,,,
U0285,user,Usuario 285,20,"Bachata, R&B",,,
U0286,user,Usuario 286,24,"Cumbia, Hip Hop",,,
U0287,user,Usuario 287,25,Rock,,,
U0288,user,Usuario 288,32,"R&B, Salsa",,,
U0289,user,Usuario 289,37,Hip Hop,,,
U0290,user,Usuario 290,33,"Reggaeton, Pop",,,
U0291,user,Usuario 291,32,K-Pop,,,
U0292,user,Usuario 292,20,"K-Pop, Electrónica, Jazz",,,
U0293,user,Usuario 293,39,"Jazz, Rock, Hip Hop",,,
U0294,user,Usuario 294,38,"Salsa, Reggaeton",,,
U0295,user,Usuario 295,25,Salsa,,,
U0296,user,Usuario 296,40,"Electrónica, Cumbia",,,
U0297,user,Usuario 297,24,"Pop, Jazz",,,
U0298,user,Usuario 298,23,"Hip Hop, Jazz, Electrónica",,,
U0299,user,Usuario 299,24,"R&B, Bachata",,,
U0300,user,Usuario 300,28,Jazz,,,
U0301,user,Usuario 301,30,"Jazz, Reggaeton",,,
U0302,user,Usuario 302,16,"Reggaeton, Rock",,,
U0303,user,Usuario 303,25,"Rock, Hip Hop",,,
U0304,user,Usuario 304,20,"R&B, Pop, Electrónica",,,
U0305,user,Usuario 305,33,Rock,,,
U0306,user,Usuario 306,19,Indie,,,
U0307,user,Usuario 307,26,"Cumbia, Pop, Rock",,,
U0308,user,Usuario 308,24,"Hip Hop, Reggaeton, Electrónica",,,
U0309,user,Usuario 309,36,"Indie, Jazz, Cumbia",,,
U0310,user,Usuario 310,25,"Jazz, K-Pop",,,
U0311,user,Usuario 311,21,"Electrónica, Cumbia, R&B",,,
U0312,user,Usuario 312,21,"Hip Hop, Bachata",,,
U0313,user,Usuario 313,35,K-Pop,,,
U0314,user,Usuario 314,38,"Salsa, Rock, Electrónica",,,
U0315,user,Usuario 315,34,"Indie, R&B",,,
U0316,user,Usuario 316,27,"Bachata, Rock",,,
U0317,user,Usuario 317,29,"Electrónica, Reggaeton, Rock",,,
U0318,user,Usuario 318,19,Bachata,,,
U0319,user,Usuario 319,24,K-Pop,,,
U0320,user,Usuario 320,29,Jazz,,,
U0321,user,Usuario 321,34,K-Pop,,,
U0322,user,Usuario 322,27,"Jazz, Bachata",,,
U0323,user,Usuario 323,39,"R&B, Cumbia",,,
U0324,user,Usuario 324,24,"Jazz, Rock",,,
U0325,user,Usuario 325,19,Indie,,,
U0326,user,Usuario 326,21,"Electrónica, R&B, Rock",,,
U0327,user,Usuario 327,34,"Cumbia, Electrónica, Pop",,,
U0328,user,Usuario 328,36,"Rock, Cumbia",,,
U0329,user,Usuario 329,24,Hip Hop,,,
U0330,user,Usuario 330,17,"Pop, Rock, Reggaeton",,,
U0331,user,Usuario 331,25,"Indie, R&B",,,
U0332,user,Usuario 332,25,"Pop, Reggaeton",,,
U0333,user,Usuario 333,26,"Indie, Electrónica, R&B",,,
U0334,user,Usuario 334,38,"Reggaeton, K-Pop, Salsa",,,
U0335,user,Usuario 335,36,Cumbia,,,
U0336,user,Usuario 336,25,"K-Pop, Salsa, Cumbia",,,
U0337,user,Usuario 337,31,"Electrónica, Jazz, Bachata",,,
U0338,user,Usuario 338,36,"Salsa, Bachata",,,
U0339,user,Usuario 339,25,Reggaeton,,,
U0340,user,Usuario 340,38,"Hip Hop, Reggaeton",,,
U0341,user,Usuario 341,36,Jazz,,,
U0342,user,Usuario 342,17,Electrónica,,,
U0343,user,Usuario 343,16,"Hip Hop, Bachata",,,
U0344,user,Usuario 344,38,"K-Pop, R&B, Electrónica",,,
U0345,user,Usuario 345,33,"Salsa, Reggaeton",,,
U0346,user,Usuario 346,20,"R&B, Reggaeton, Hip Hop",,,
U0347,user,Usuario 347,22,"Pop, Salsa, Cumbia",,,
U0348,user,Usuario 348,24,"Cumbia, K-Pop, R&B",,,
U0349,user,Usuario 349,39,Pop,,,
U0350,user,Usuario 350,21,K-Pop,,,
U0351,user,Usuario 351,40,"Bachata, Indie, K-Pop",,,
U0352,user,Usuario 352,32,"Reggaeton, Hip Hop",,,
U0353,user,Usuario 353,26,"K-Pop, Bachata",,,
U0354,user,Usuario 354,19,"Jazz, Cumbia, Reggaeton",,,
U0355,user,Usuario 355,39,"Jazz, Bachata",,,
U0356,user,Usuario 356,26,"Jazz, R&B",,,
U0357,user,Usuario 357,30,"Rock, Jazz, Salsa",,,
U0358,user,Usuario 358,34,"Pop, Jazz",,,
U0359,user,Usuario 359,31,Rock,,,
U0360,user,Usuario 360,28,"Bachata, Indie",,,
U0361,user,Usuario 361,23,"Jazz, Electrónica",,,
U0362,user,Usuario 362,40,Bachata,,,
U0363,user,Usuario 363,16,"Salsa, Pop",,,
U0364,user,Usuario 364,23,"Jazz, Electrónica, Salsa",,,
U0365,user,Usuario 365,30,"Bachata, Rock",,,
U0366,user,Usuario 366,24,"Hip Hop, Reggaeton, Pop",,,
U0367,user,Usuario 367,36,"Electrónica, Jazz",,,
U0368,user,Usuario 368,20,"K-Pop, Jazz",,,
U0369,user,Usuario 369,23,Bachata,,,
U0370,user,Usuario 370,35,"Hip Hop, Indie",,,
U0371,user,Usuario 371,28,Hip Hop,,,
U0372,user,Usuario 372,32,"Jazz, K-Pop, Hip Hop",,,
U0373,user,Usuario 373,25,"Jazz, Reggaeton",,,
U0374,user,Usuario 374,21,Rock,,,
U0375,user,Usuario 375,19,"Rock, Salsa, Pop",,,
U0376,user,Usuario 376,20,"R&B, Salsa",,,
U0377,user,Usuario 377,16,"R&B, Cumbia",,,
U0378,user,Usuario 378,28,Indie,,,
U0379,user,Usuario 379,25,R&B,,,
U0380,user,Usuario 380,19,"Jazz, Electrónica, Bachata",,,
U0381,user,Usuario 381,26,"R&B, Pop",,,
U0382,user,Usuario 382,20,Bachata,,,
U0383,user,Usuario 383,31,"K-Pop, R&B",,,
U0384,user,Usuario 384,28,"Reggaeton, R&B",,,
U0385,user,Usuario 385,21,"K-Pop, Reggaeton",,,
U0386,user,Usuario 386,30,"R&B, Indie",,,
U0387,user,Usuario 387,39,Salsa,,,
U0388,user,Usuario 388,28,"R&B, Indie, Reggaeton",,,
U0389,user,Usuario 389,22,"Salsa, Bachata, R&B",,,
U0390,user,Usuario 390,20,"Electrónica, Bachata",,,
U0391,user,Usuario 391,28,"Pop, Electrónica",,,
U0392,user,Usuario 392,20,"Pop, Bachata",,,
U0393,user,Usuario 393,27,"Indie, Salsa",,,
U0394,user,Usuario 394,27,"Pop, R&B",,,
U0395,user,Usuario 395,36,"Salsa, Indie, Rock",,,
U0396,user,Usuario 396,33,"Reggaeton, Indie, Cumbia",,,
U0397,user,Usuario 397,23,Cumbia,,,
U0398,user,Usuario 398,27,K-Pop,,,
U0399,user,Usuario 399,28,Cumbia,,,
U0400,user,Usuario 400,19,"Hip Hop, Indie, Bachata",,,
U0401,user,Usuario 401,37,"K-Pop, Rock, R&B",,,
U0402,user,Usuario 402,38,"Pop, Rock, Cumbia",,,
U0403,user,Usuario 403,28,Bachata,,,
U0404,user,Usuario 404,23,"Rock, Indie",,,
U0405,user,Usuario 405,20,"Salsa, Pop",,,
U0406,user,Usuario 406,18,Cumbia,,,
U0407,user,Usuario 407,35,"Bachata, Pop",,,
U0408,user,Usuario 408,22,"Indie, Electrónica, Rock",,,
U0409,user,Usuario 409,28,Cumbia,,,
U0410,user,Usuario 410,35,Reggaeton,,,
U0411,user,Usuario 411,37,"Jazz, Pop",,,
U0412,user,Usuario 412,35,Hip Hop,,,
U0413,user,Usuario 413,30,"Cumbia, Rock, Reggaeton",,,
U0414,user,Usuario 414,29,"Hip Hop, Rock",,,
U0415,user,Usuario 415,37,"Pop, Salsa, Electrónica",,,
U0416,user,Usuario 416,30,Bachata,,,
U0417,user,Usuario 417,17,"Jazz, Pop, K-Pop",,,
U0418,user,Usuario 418,35,Pop,,,
U0419,user,Usuario 419,23,"Bachata, Salsa, Rock",,,
U0420,user,Usuario 420,24,"Electrónica, Salsa, Pop",,,
U0421,user,Usuario 421,25,"Pop, Rock",,,
U0422,user,Usuario 422,23,Bachata,,,
U0423,user,Usuario 423,17,Rock,,,
U0424,user,Usuario 424,21,"K-Pop, Jazz, Reggaeton",,,
U0425,user,Usuario 425,18,"Electrónica, K-Pop",,,
U0426,user,Usuario 426,20,"Indie, Pop",,,
U0427,user,Usuario 427,27,"Rock, Salsa, Electrónica",,,
U0428,user,Usuario 428,20,"Jazz, Cumbia, Electrónica",,,
U0429,user,Usuario 429,19,K-Pop,,,
U0430,user,Usuario 430,22,Indie,,,
U0431,user,Usuario 431,18,Jazz,,,
U0432,user,Usuario 432,26,"Electrónica, Salsa, Pop",,,
U0433,user,Usuario 433,19,Salsa,,,
U0434,user,Usuario 434,19,"Hip Hop, Electrónica",,,
U0435,user,Usuario 435,31,"Electrónica, Reggaeton, R&B",,,
U0436,user,Usuario 436,28,"R&B, Reggaeton",,,
U0437,user,Usuario 437,21,"Cumbia, Bachata",,,
U0438,user,Usuario 438,36,"K-Pop, Hip Hop",,,
U0439,user,Usuario 439,18,"R&B, Jazz",,,
U0440,user,Usuario 440,29,"Hip Hop, Cumbia",,,
U0441,user,Usuario 441,38,Cumbia,,,
U0442,user,Usuario 442,27,"Bachata, Cumbia",,,
U0443,user,Usuario 443,19,"Bachata, Jazz, Indie",,,
U0444,user,Usuario 444,25,Salsa,,,
U0445,user,Usuario 445,19,Indie,,,
U0446,user,Usuario 446,31,Bachata,,,
U0447,user,Usuario 447,32,"Hip Hop, Salsa",,,
U0448,user,Usuario 448,38,Cumbia,,,
U0449,user,Usuario 449,34,"Hip Hop, R&B",,,
U0450,user,Usuario 450,34,Reggaeton,,,
U0451,user,Usuario 451,18,Salsa,,,
U0452,user,Usuario 452,30,R&B,,,
U0453,user,Usuario 453,39,"R&B, Rock, Bachata",,,
U0454,user,Usuario 454,35,"Pop, Rock, R&B",,,
U0455,user,Usuario 455,19,"Pop, Indie, Cumbia",,,
U0456,user,Usuario 456,18,"Jazz, Indie, Rock",,,
U0457,user,Usuario 457,38,Rock,,,
U0458,user,Usuario 458,38,Cumbia,,,
U0459,user,Usuario 459,30,"K-Pop, Cumbia, Pop",,,
U0460,user,Usuario 460,40,"Rock, K-Pop",,,
U0461,user,Usuario 461,39,"Bachata, R&B",,,
U0462,user,Usuario 462,29,"Jazz, Hip Hop",,,
U0463,user,Usuario 463,38,"Bachata, Electrónica",,,
U0464,user,Usuario 464,26,"Hip Hop, Indie, R&B",,,
U0465,user,Usuario 465,20,Electrónica,,,
U0466,user,Usuario 466,23,"Jazz, Pop",,,
U0467,user,Usuario 467,37,"Jazz, Pop, Hip Hop",,,
U0468,user,Usuario 468,38,"Pop, Rock, Indie",,,
U0469,user,Usuario 469,29,Rock,,,
U0470,user,Usuario 470,19,Bachata,,,
U0471,user,Usuario 471,31,"Pop, K-Pop, Salsa",,,
U0472,user,Usuario 472,34,Reggaeton,,,
U0473,user,Usuario 473,25,Electrónica,,,
U0474,user,Usuario 474,31,Reggaeton,,,
U0475,user,Usuario 475,26,"Jazz, Indie",,,
U0476,user,Usuario 476,22,"Cumbia, R&B, K-Pop",,,
U0477,user,Usuario 477,27,Indie,,,
U0478,user,Usuario 478,22,"Cumbia, R&B, Rock",,,
U0479,user,Usuario 479,21,"Jazz, Bachata",,,
U0480,user,Usuario 480,33,Rock,,,
U0481,user,Usuario 481,31,"R&B, Hip Hop",,,
U0482,user,Usuario 482,37,"Bachata, Pop",,,
U0483,user,Usuario 483,29,"R&B, Jazz",,,
